Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Reynard_Reyne:'siblings':['Roger_Reyne', 'Ellyn_Reyne']| 'fmc':[['Robert_Reyne'], []]| 'love':[]
Reysen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rhae_Targaryen:'siblings':['Daeron_Targaryen_(Son_of_Maekar_I)', 'Aerion_Targaryen', 'Aemon_Targaryen_(Son_of_Maekar_I)', 'Aegon_V_Targaryen']| 'fmc':[['Maekar_I_Targaryen', 'Dyanna_Dayne'], []]| 'love':[]
Rhaegal:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rhaegal_I_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rhaegar_Frey:'siblings':['Aegon_Frey_(son_of_Aenys)']| 'fmc':[['Aenys_Frey', 'Tyana_Wylde'], ['Jonos_Frey']]| 'love':['Jeyne_Beesbury', 'Wynafryd_Manderly']
Rhaegel_Targaryen:'siblings':['Baelor_Targaryen', 'Aerys_I_Targaryen', 'Maekar_I_Targaryen']| 'fmc':[['Daeron_II_Targaryen', 'Myriah_Martell'], ['Daenora_Targaryen']]| 'love':[]
Rhaego:'siblings':[]| 'fmc':[['Drogo', 'Daenerys_Targaryen'], []]| 'love':[]
Rhaella_Targaryen:'siblings':['Aerys_II_Targaryen']| 'fmc':[[], ['Rhaegar_Targaryen', 'Shaena_Targaryen', 'Daeron_Targaryen_(son_of_Aerys_II)', 'Aegon_Targaryen_(son_of_Aerys_II)', 'Jaehaerys_Targaryen_(son_of_Aerys_II)', 'Viserys_Targaryen', 'Daenerys_Targaryen']]| 'love':['Aerys_II_Targaryen']
Rhaelle_Targaryen:'siblings':['Daeron_Targaryen_(son_of_Aegon_V)', 'Jaehaerys_II_Targaryen', 'Duncan_Targaryen']| 'fmc':[['Aegon_V_Targaryen'], ['Steffon_Baratheon']]| 'love':['Ormund_Baratheon']
Rhaenyra_Targaryen:'siblings':['Baelon_Targaryen_(son_of_Viserys_I)', 'Aegon_II_Targaryen', 'Helaena_Targaryen', 'Aemond_Targaryen']| 'fmc':[['Viserys_I_Targaryen', 'Aemma_Arryn'], ['Jacaerys_Velaryon', 'Lucerys_Velaryon', 'Joffrey_Velaryon', 'Aegon_III_Targaryen', 'Viserys_II_Targaryen', 'Visenya_Targaryen_(daughter_of_Rhaenyra)']]| 'love':['Laenor_Velaryon', 'Daemon_Targaryen']
Rhalla_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rhea_Florent:'siblings':['Melessa_Florent', 'Alekyne_Florent']| 'fmc':[['Alester_Florent'], []]| 'love':[]
Rhea_Royce:'siblings':[]| 'fmc':[[], []]| 'love':['Daemon_Targaryen']
Rhogoro:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ricasso:'siblings':[]| 'fmc':[[], []]| 'love':[]
Richard_Horpe:'siblings':[]| 'fmc':[[], []]| 'love':[]
Richard_Roote:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rickard_Redwyne:'siblings':['Ryam_Redwyne']| 'fmc':[['Manfryd_Redwyne'], []]| 'love':[]
Rickard_Stark:'siblings':[]| 'fmc':[['Edwyle_Stark', 'Marna_Locke'], ['Brandon_Stark', 'Eddard_Stark', 'Lyanna_Stark', 'Benjen_Stark']]| 'love':['Lyarra_Stark']
Rickard_Stark_(king):'siblings':[]| 'fmc':[['Jon_Stark'], []]| 'love':[]
Rickard_Thorne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rickard_Tyrell:'siblings':['Raymund_Tyrell', 'Megga_Tyrell']| 'fmc':[['Olymer_Tyrell', 'Lysa_Meadows'], []]| 'love':[]
Rickon_Stark:'siblings':['Robb_Stark', 'Jon_Snow', 'Sansa_Stark', 'Arya_Stark', 'Bran_Stark']| 'fmc':[['Eddard_Stark', 'Catelyn_Stark'], []]| 'love':[]
Rickon_Stark_(Son_of_Benjen):'siblings':['Bennard_Stark']| 'fmc':[['Benjen_Stark_(Lord)', 'Lysa_Locke'], ['Cregan_Stark', 'Sara_Snow']]| 'love':['Gilliane_Glover']
Rickon_Stark_(Son_of_Cregan):'siblings':['Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Arra_Norrey'], ['Serena_Stark', 'Sansa_Stark_(Daughter_of_Rickon)']]| 'love':['Jeyne_Manderly']
Rob_the_Starvling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robar_Royce:'siblings':['Andar_Royce', 'Waymar_Royce']| 'fmc':[['Yohn_Royce'], []]| 'love':[]
Robard_Cerwyn:'siblings':[]| 'fmc':[[], []]| 'love':['Aregelle_Stark']
Robb_Reyne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robb_Rivers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robb_Stark:'siblings':['Jon_Snow', 'Sansa_Stark', 'Arya_Stark', 'Bran_Stark', 'Rickon_Stark']| 'fmc':[['Eddard_Stark', 'Catelyn_Stark'], []]| 'love':['Jeyne_Westerling']
Robert_Arryn:'siblings':[]| 'fmc':[['Jon_Arryn', 'Lysa_Arryn'], []]| 'love':[]
Robert_Ashford:'siblings':['Androw_Ashford']| 'fmc':[[], []]| 'love':[]
Robert_Blackwood:'siblings':['Brynden_Blackwood', 'Lucas_Blackwood', 'Hoster_Blackwood', 'Edmund_Blackwood', 'Alyn_Blackwood', 'Bethany_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Robert_Blackwood_(209):'siblings':[]| 'fmc':[[], []]| 'love':[]
Robert_Brax:'siblings':['Tytos_Brax', 'Flement_Brax']| 'fmc':[['Andros_Brax'], []]| 'love':[]
Robert_Brax_(son_of_Flement):'siblings':['Walder_Brax', 'Jon_Brax']| 'fmc':[['Flement_Brax', 'Morya_Frey'], []]| 'love':[]
Robert_Frey_(son_of_Rhaegar):'siblings':['Walda_Frey_(daughter_of_Rhaegar)', 'Jonos_Frey']| 'fmc':[['Rhaegar_Frey', 'Jeyne_Beesbury'], []]| 'love':[]
Robert_I_Baratheon:'siblings':['Stannis_Baratheon', 'Renly_Baratheon']| 'fmc':[['Steffon_Baratheon', 'Cassana_Estermont'], ['Joffrey_I_Baratheon', 'Myrcella_Baratheon', 'Tommen_Baratheon', 'Edric_Storm', 'Mya_Stone', 'Gendry', 'Barra', 'Bella']]| 'love':['Cersei_Lannister']
Robert_Reyne:'siblings':[]| 'fmc':[[], ['Roger_Reyne', 'Reynard_Reyne', 'Ellyn_Reyne']]| 'love':[]
Robert_Strong:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robett_Glover:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robin_Darklyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robin_Greyjoy:'siblings':['Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Robin_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robin_Ryger:'siblings':[]| 'fmc':[[], []]| 'love':[]
Robyn_Ryswell:'siblings':[]| 'fmc':[[], []]| 'love':['Jonnel_Stark']
Roderick_Blackwood:'siblings':[]| 'fmc':[[], ['Shiera_Blackwood']]| 'love':[]
Roderick_Dustin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roderick_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rodrik_Cassel:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rodrik_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rodrik_Harlaw:'siblings':['Gwynesse_Harlaw', 'Alannys_Harlaw']| 'fmc':[[], []]| 'love':[]
Rodrik_Sparr:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rodrik_Stark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rodwell_Stark:'siblings':['Lonnel_Snow', 'Beron_Stark', 'Arsa_Stark']| 'fmc':[['Brandon_Stark_(Son_of_Cregan)', 'Alys_Karstark_(Wife_of_Brandon)'], []]| 'love':['Myriame_Manderly']
Roger_Corne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roger_of_Pennytree:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roger_Reyne:'siblings':['Reynard_Reyne', 'Ellyn_Reyne']| 'fmc':[['Robert_Reyne'], []]| 'love':[]
Rognar_II_Greyiron:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rohanne_Tarbeck:'siblings':['Cyrelle_Tarbeck', 'Tion_Tarbeck']| 'fmc':[['Walderan_Tarbeck', 'Ellyn_Reyne'], ['Last_Lord_Tarbeck']]| 'love':[]
Rohanne_Webber:'siblings':[]| 'fmc':[[], ['Tywald_Lannister', 'Tion_Lannister', 'Tytos_Lannister', 'Jason_Lannister_(son_of_Gerold)']]| 'love':['Gerold_Lannister']
Roland_Crakehall:'siblings':['Burton_Crakehall']| 'fmc':[[], ['Tybolt_Crakehall', 'Lyle_Crakehall', 'Merlon_Crakehall']]| 'love':[]
Roland_Crakehall_(Kingsguard):'siblings':[]| 'fmc':[[], []]| 'love':[]
Roland_I_Arryn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roland_Westerling:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rolder:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rollam_Westerling:'siblings':['Raynald_Westerling', 'Jeyne_Westerling', 'Eleyna_Westerling']| 'fmc':[['Gawen_Westerling', 'Sybell_Spicer'], []]| 'love':[]
Rolland_Darklyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rolland_Longthorpe:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rolley_of_Sisterton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rolly_Duckfield:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rolph_Spicer:'siblings':['Sybell_Spicer']| 'fmc':[[], []]| 'love':[]
Romny_Weaver:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ronel_Rivers:'siblings':[]| 'fmc':[['Walder_Frey'], []]| 'love':[]
Ronnal_Baratheon:'siblings':['Rogar_Baratheon', 'Borys_Baratheon', 'Orryn_Baratheon']| 'fmc':[[], []]| 'love':[]
Ronnel_Arryn_(king):'siblings':['Jonos_Arryn']| 'fmc':[[], []]| 'love':['House_Stark']
Roone:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roose_Bolton:'siblings':[]| 'fmc':[[], ['Ramsay_Bolton']]| 'love':[]
Rorge:'siblings':[]| 'fmc':[[], []]| 'love':[]
Roryn_Drumm:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rosamund_Ball:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rosamund_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rose_of_Red_Lake:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Ellyn_Ever_Sweet', 'Rowan_Gold-Tree', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Rosey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rosey_(daughter_of_Aegon_IV):'siblings':[]| 'fmc':[[], []]| 'love':[]
Roslin_Tully:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Olyvar_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey', 'Bethany_Rosby'], []]| 'love':['Edmure_Tully']
Rowan_Gold-Tree:'siblings':['John_the_Oak', 'Gilbert_of_the_Vines', 'Florys_the_Fox', 'Maris_the_Maid', 'Brandon_of_the_Bloody_Blade', 'Foss_the_Archer', 'Owen_Oakenshield', 'Harlon_the_Hunter', 'Herndon_of_the_Horn', 'Bors_the_Breaker', 'Rose_of_Red_Lake', 'Ellyn_Ever_Sweet', 'Garth_the_Gardener']| 'fmc':[['Garth_Greenhand'], []]| 'love':[]
Roy_Connington:'siblings':[]| 'fmc':[[], []]| 'love':[]
Royce_Blackwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rufus_Leek:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rupert_Brax:'siblings':['Andros_Brax']| 'fmc':[[], []]| 'love':[]
Rus:'siblings':[]| 'fmc':[[], []]| 'love':[]
Russell_Merryweather:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ryam_Florent:'siblings':['Alester_Florent', 'Axell_Florent', 'Colin_Florent', 'Rylene_Florent']| 'fmc':[[], ['Selyse_Florent', 'Imry_Florent', 'Erren_Florent']]| 'love':[]
Rycherd_Crane:'siblings':[]| 'fmc':[[], []]| 'love':['Rylene_Florent']
Ryella_Frey:'siblings':['Androw_Frey', 'Alyn_Frey', 'Hostella_Frey']| 'fmc':[['Androw_Frey', 'Ryella_Royce'], []]| 'love':[]
Ryella_Royce:'siblings':[]| 'fmc':[[], ['Ryella_Frey', 'Androw_Frey', 'Alyn_Frey', 'Hostella_Frey']]| 'love':['Arwood_Frey']
Ryk:'siblings':[]| 'fmc':[[], []]| 'love':['Munda']
Rylene_Florent:'siblings':['Alester_Florent', 'Axell_Florent', 'Ryam_Florent', 'Colin_Florent']| 'fmc':[[], []]| 'love':['Rycherd_Crane']
Ryman_Frey:'siblings':['Aegon_Frey']| 'fmc':[['Stevron_Frey'], ['Edwyn_Frey', 'Walder_Frey_(Black)', 'Petyr_Frey']]| 'love':[]
Rymolf:'siblings':[]| 'fmc':[[], []]| 'love':[]
Rymond_Arryn:'siblings':['Darnold_Arryn']| 'fmc':[[], []]| 'love':[]
Salladhor_Saan:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sabitha_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sallei_Paege:'siblings':[]| 'fmc':[[], ['Walder_Frey_(son_of_Jammos)', 'Dickon_Frey', 'Mathis_Frey']]| 'love':['Jammos_Frey']
Samantha_Stokeworth:'siblings':[]| 'fmc':[['Alyn_Stokeworth'], []]| 'love':[]
Samgood_of_Sour_Hill:'siblings':[]| 'fmc':[[], []]| 'love':[]
Samwell_Blackwood:'siblings':['Alysanne_Blackwood']| 'fmc':[[], ['Benjicot_Blackwood']]| 'love':[]
Samwell_Dayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Samwell_Rivers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Samwell_Spicer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Samwell_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Samwell_Tarly:'siblings':['Talla_Tarly', 'Dickon_Tarly']| 'fmc':[['Randyll_Tarly', 'Melessa_Florent'], []]| 'love':[]
Sandor_Clegane:'siblings':['Gregor_Clegane']| 'fmc':[[], []]| 'love':[]
Sansa_Stark:'siblings':['Robb_Stark', 'Jon_Snow', 'Arya_Stark', 'Bran_Stark', 'Rickon_Stark']| 'fmc':[['Eddard_Stark', 'Catelyn_Stark'], []]| 'love':['Tyrion_Lannister', 'Harrold_Hardyng']
Sansa_Stark_(Daughter_of_Rickon):'siblings':['Serena_Stark']| 'fmc':[['Rickon_Stark_(Son_of_Cregan)', 'Jeyne_Manderly'], []]| 'love':['Jonnel_Stark']
Sara_Snow:'siblings':['Cregan_Stark']| 'fmc':[['Rickon_Stark_(Son_of_Benjen)'], []]| 'love':['Jacaerys_Velaryon']
Saranella:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sargon_Botley:'siblings':[]| 'fmc':[[], ['Wex_Pyke']]| 'love':[]
Sarra_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Alysanne_Blackwood'], []]| 'love':[]
Sarya_Whent:'siblings':[]| 'fmc':[[], []]| 'love':['Walder_Frey']
Satin:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sawane_Botley:'siblings':['Germund_Botley', 'Lucimore_Botley', 'Sargon_Botley']| 'fmc':[[], ['Harren_Botley', 'Tristifer_Botley', 'Symond_Botley', 'Harlon_Botley', 'Vickon_Botley', 'Bennarion_Botley']]| 'love':[]
Scarb:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sebaston_Farman:'siblings':['Jeyne_Farman']| 'fmc':[[], []]| 'love':[]
Selmond_Stackspear:'siblings':[]| 'fmc':[[], ['Steffon_Stackspear', 'Alyn_Stackspear']]| 'love':[]
Lyonel_Selmy:'siblings':[]| 'fmc':[[], ['Barristan_Selmy']]| 'love':[]
Selyse_Florent:'siblings':['Imry_Florent', 'Erren_Florent']| 'fmc':[['Ryam_Florent'], ['Shireen_Baratheon']]| 'love':['Stannis_Baratheon']
Senelle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Serena_Stark:'siblings':['Sansa_Stark_(Daughter_of_Rickon)']| 'fmc':[['Rickon_Stark_(Son_of_Cregan)', 'Jeyne_Manderly'], ['Cregard_Stark', 'Torrhen_Stark_(Son_of_Edric)', 'Arrana_Stark', 'Aregelle_Stark']]| 'love':['Jon_Umber_(Husband_of_Serena)', 'Edric_Stark_(Son_of_Cregan)']
Serra:'siblings':[]| 'fmc':[[], []]| 'love':['Illyrio_Mopatis']
Serwyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shadrich:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shae:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shaena_Targaryen:'siblings':['Rhaegar_Targaryen', 'Daeron_Targaryen', 'Aegon_Targaryen', 'Viserys_Targaryen', 'Daenerys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], []]| 'love':[]
Shagwell:'siblings':[]| 'fmc':[[], []]| 'love':[]
She-Wolves:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shella_Whent:'siblings':[]| 'fmc':[[], []]| 'love':['Walter_Whent']
Shiera_Blackwood:'siblings':[]| 'fmc':[['Roderick_Blackwood'], []]| 'love':[]
Shiera_Crakehall:'siblings':[]| 'fmc':[[], ['Lucion_Lannister', 'Lanna_Lannister']]| 'love':['Damion_Lannister']
Shiera_Seastar:'siblings':['Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers', 'Daemon_Blackfyre']| 'fmc':[['Aegon_IV_Targaryen', 'Serenei_of_Lys'], []]| 'love':[]
Shierle_Swyft:'siblings':['Dorna_Swyft', 'Steffon_Swyft']| 'fmc':[['Harys_Swyft'], []]| 'love':['Melwyn_Sarsfield']
Shireen_Baratheon:'siblings':[]| 'fmc':[['Stannis_Baratheon', 'Selyse_Florent'], []]| 'love':[]
Shirei_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shortear:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shrike:'siblings':[]| 'fmc':[[], []]| 'love':[]
Shrykos:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sigfry_Stonetree:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sigfryd_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sigorn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Simon_Dondarrion:'siblings':[]| 'fmc':[[], []]| 'love':[]
Simon_Staunton_(Squire):'siblings':[]| 'fmc':[[], []]| 'love':[]
Simon_Strong:'siblings':[]| 'fmc':[[], []]| 'love':[]
Skahaz_mo_Kandaq:'siblings':[]| 'fmc':[[], []]| 'love':[]
Skinchangers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Small_Paul:'siblings':[]| 'fmc':[[], []]| 'love':[]
Smike:'siblings':[]| 'fmc':[[], []]| 'love':[]
Smiling_Knight:'siblings':[]| 'fmc':[[], []]| 'love':[]
Spotted_Pate:'siblings':[]| 'fmc':[[], []]| 'love':[]
Stafford_Lannister:'siblings':['Damon_Lannister_(son_of_Jason)', 'Joanna_Lannister', 'Lynora_Hill']| 'fmc':[['Jason_Lannister_(son_of_Gerold)', 'Marla_Prester'], ['Daven_Lannister', 'Cerenna_Lannister', 'Myrielle_Lannister']]| 'love':['Myranda_Lefford']
Stallion_Who_Mounts_the_World:'siblings':[]| 'fmc':[[], []]| 'love':[]
Stannis_Baratheon:'siblings':['Robert_Baratheon', 'Renly_Baratheon']| 'fmc':[['Steffon_Baratheon', 'Cassana_Estermont'], ['Shireen_Baratheon']]| 'love':['Selyse_Florent']
Brandon_Stark:'siblings':['Eddard_Stark', 'Lyanna_Stark', 'Benjen_Stark']| 'fmc':[['Rickard_Stark', 'Lyarra_Stark'], []]| 'love':['Catelyn_Stark', 'Barbrey_Dustin']
Steffarion_Sparr:'siblings':[]| 'fmc':[['The_Sparr'], []]| 'love':[]
Steffon_Baratheon:'siblings':[]| 'fmc':[['Ormund_Baratheon', 'Rhaelle_Targaryen'], ['Robert_I_Baratheon', 'Stannis_Baratheon', 'Renly_Baratheon']]| 'love':['Cassana_Estermont']
Steffon_Darklyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Steffon_Fossoway:'siblings':[]| 'fmc':[[], []]| 'love':[]
Steffon_Frey:'siblings':['Walda_Frey_(daughter_of_Walton)', 'Bryan_Frey']| 'fmc':[['Walton_Frey', 'Deana_Hardyng'], []]| 'love':[]
Steffon_Stackspear:'siblings':['Alyn_Stackspear']| 'fmc':[['Selmond_Stackspear'], []]| 'love':[]
Steffon_Swyft:'siblings':['Dorna_Swyft', 'Shierle_Swyft']| 'fmc':[['Harys_Swyft'], []]| 'love':[]
Stevron_Frey:'siblings':['Roslin_Tully', 'Emmon_Frey', 'Aenys_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Olyvar_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey', 'Perra_Royce'], ['Ryman_Frey', 'Walton_Frey']]| 'love':['Marsella_Waynwood']
Stiv:'siblings':[]| 'fmc':[[], []]| 'love':[]
Lollys_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Mya_Stone:'siblings':['Barra', 'Bella', 'Gendry', 'Edric_Storm']| 'fmc':[['Robert_I_Baratheon'], []]| 'love':[]
Sumner_Crakehall:'siblings':[]| 'fmc':[[], []]| 'love':[]
Surly_lad:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sybell_Spicer:'siblings':[]| 'fmc':[[], ['Raynald_Westerling', 'Jeyne_Westerling', 'Eleyna_Westerling', 'Rollam_Westerling']]| 'love':['Gawen_Westerling']
Sylas_Flatnose:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sylvenna_Sand:'siblings':[]| 'fmc':[[], []]| 'love':[]
Sylwa_Paege:'siblings':[]| 'fmc':[[], ['Hoster_Frey', 'Merianne_Frey']]| 'love':['Whalen_Frey']
Symond_Botley:'siblings':['Harren_Botley', 'Tristifer_Botley', 'Harlon_Botley', 'Vickon_Botley', 'Bennarion_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Symond_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Jared_Frey', 'Merrett_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Symond_Templeton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Taena_Merryweather:'siblings':[]| 'fmc':[[], ['Russell']]| 'love':['Orton_Merryweather']
Talbert_Serry:'siblings':[]| 'fmc':[['Osbert_Serry'], []]| 'love':[]
Talla_Tarly:'siblings':['Samwell_Tarly']| 'fmc':[['Randyll_Tarly', 'Melessa_Florent'], []]| 'love':[]
Tanda_Stokeworth:'siblings':[]| 'fmc':[[], ['Falyse_Stokeworth', 'Lollys_Stokeworth']]| 'love':[]
Rhaegar_Targaryen:'siblings':['Shaena_Targaryen', 'Daeron_Targaryen_(son_of_Aerys_II)', 'Aegon_Targaryen_(son_of_Aerys_II)', 'Viserys_Targaryen', 'Daenerys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], ['Rhaenys_Targaryen_(daughter_of_Rhaegar)', 'Aegon_Targaryen_(son_of_Rhaegar)']]| 'love':['Elia_Martell']
Tarle:'siblings':[]| 'fmc':[[], []]| 'love':[]
Randyll_Tarly:'siblings':[]| 'fmc':[[], ['Samwell_Tarly', 'Dickon_Tarly', 'Talla_Tarly']]| 'love':[]
Selwyn_Tarth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Teora_Kyndall:'siblings':[]| 'fmc':[[], ['Cerelle_Lannister']]| 'love':['Tybolt_Lannister']
Ternesio_Terys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tess:'siblings':[]| 'fmc':[[], []]| 'love':[]
The_Sparr:'siblings':[]| 'fmc':[[], ['Steffarion_Sparr']]| 'love':[]
The_Stonehouse:'siblings':[]| 'fmc':[[], []]| 'love':[]
Theo_Charlton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Theo_Wull:'siblings':[]| 'fmc':[[], []]| 'love':[]
Theodore_Tyrell:'siblings':['Medwick_Tyrell', 'Olene_Tyrell']| 'fmc':[['Luthor_Tyrell_(son_of_Moryn)', 'Elyn_Norridge'], ['Elinor_Tyrell', 'Luthor_Tyrell_(son_of_Theodore)']]| 'love':['Lia_Serry']
Theomore:'siblings':[]| 'fmc':[[], []]| 'love':[]
Theomore_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Theon_Greyjoy:'siblings':['Rodrik_Greyjoy', 'Maron_Greyjoy', 'Asha_Greyjoy']| 'fmc':[['Balon_Greyjoy', 'Alannys_Harlaw'], []]| 'love':[]
Thoren_Smallwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Thoros_of_Myr:'siblings':[]| 'fmc':[[], []]| 'love':[]
Three-Eyed_Crow:'siblings':[]| 'fmc':[[], []]| 'love':[]
Timeon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Timotty_Snow:'siblings':[]| 'fmc':[[], []]| 'love':[]
